Location,Year,Unemployment Rate
"United States, General",2017,4.4
"United States, General",2016,4.9
"United States, General",2015,5.3
"United States, General",2014,6.2
"United States, General",2013,7.4
"United States, Lowest State",2017,2.4
"United States, Lowest State",2016,2.9
"United States, Lowest State",2015,2.8
"United States, Lowest State",2014,2.9
"United States, Lowest State",2013,2.7
"United States, Highest State",2017,7.2
"United States, Highest State",2016,6.9
"United States, Highest State",2015,6.9
"United States, Highest State",2014,7.9
"United States, Highest State",2013,9.6
